V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25
355.74721886499134,369.3287683515382,409.8676430091659,369.0588122385601,352.20248878218405,1072.842047842685,1112.710204597743,1018.9762348665545,295,325.54760090135363,498.3700922279826,431.37100845028885,426.56610650295846,437.17723079101177,277.67922067782456,497,226.81280635826786,385.1203008062801,618.7612911383416,624.7652874144624,431.3729121655274,493.8149215683227,346.0064556880932,426,184.0367993350239
349.20086636624575,356.759388518677,402.34545625232647,354.4382080025212,341.31394503191353,1046.3418580464806,1078.085343369042,981.8733195431673,285,313.44305569194177,489.1015982185443,419.25407665071134,418.30761377061054,423.4954966031425,271.9797679321409,479,220.61194333827046,377.75804728766826,606.1848786590147,612.9265564779815,422.7926185565771,490.95683789194186,346.76838175476774,427,178.71372416012338
338.2293072834741,335.52522260470437,389.1652098054597,328.9165386876013,323.44073887257036,1002.3658986797557,1020.2353505372567,920.3181490477386,267,291.9576038121469,472.50739218386036,398.93987374315793,404.09699476612184,400.33620926902586,261.7207529899103,450,210.1729611413273,365.36981794173624,584.8027386445217,592.667910984394,408.9688121866016,464.94675693686963,326.9583040212296,401,169.38020327743078
338.59513679264774,337.236419759928,393.0248209182669,335.8405122167321,321.79453832592424,1001.219756918062,1021.0866952409585,918.6200187864392,275,299.82486299679744,479.3876882975817,399.6557731927034,406.7757814695747,402.47459139503286,266.28031518645724,444,210.79822412301255,366.07665883120956,587.3314539382103,595.8324745811108,406.10871431695153,466.86977458606566,327.7202300879041,402,172.15057682458126
337.1624154721116,334.78221190373233,392.39007436160097,334.43683284623205,318.7483514003764,994.6473176243393,1013.1900645705883,909.3904709864365,275,299.2906344724213,479.23048268174955,397.01528907796325,405.6204851512143,399.88429574083034,266.28031518645724,438,209.52309840703825,364.5522582649107,585.1160378529829,593.9776448303849,403.24861644730146,479.2961600060498,340.67297322137136,419,171.71290429729598
325.1226342529406,310.49810392271013,374.57683990768754,300.48234026622737,301.33095184846735,948.9483997298968,950.7630198898853,845.5154876266351,248,268.70966126955545,454.823890945206,374.68547740374856,387.8667202927592,373.13210967344645,250.89179277311135,413,197.7962627358776,350.67014932543424,559.8736940940279,569.3087349880749,391.33154199042605,429.6775865010745,298.76703955427143,364,159.06211326572003
344.3552884659138,349.136900583332,402.50965247630575,353.7943270210402,329.4964909956113,1022.3481302801542,1050.6502001846277,948.1240063381789,290,316.46803332518283,492.8450134002146,410.34979923363926,415.8901809994088,415.65802165659636,274.82949430498275,454,216.48666245774805,372.8009041712806,599.9190604157232,608.3352200254421,410.8755440997017,515.7500332527028,372.6738680217022,461,178.8951174262904
341.9940253394013,342.51634082280543,392.6818817535282,335.8877238784169,330.2331059131168,1018.2239260332155,1040.4025995650334,942.5429534170956,271,297.2268047154125,476.34055428030143,405.89903375478104,408.32462891374934,407.8811394675356,264.00053408818377,462,213.6734069221057,369.5342398022201,591.6056365044344,598.8872671595669,414.6890079259018,501.0448896334244,361.2449770215841,446,171.85957136921922
344.94460650376425,349.06184199890555,399.07320573460913,347.80613973890945,333.1734828259559,1027.875898237663,1055.0632759278394,955.9751684661469,282,308.95692649011636,486.06952103038145,411.3942225272539,413.9815918415295,415.2465033000577,270.2699321084358,464,216.71148328671237,373.1103303260065,598.8672891788528,606.4072095958759,415.64237388245186,482.96792999573717,340.67297322137136,419,176.4165255639968
345.4361483103186,349.768270300576,398.82878430425797,347.4670228117056,334.5215779913671,1030.4838306930208,1057.9180943412655,959.6485151738103,281,308.1738547886761,485.2684361221033,412.2949166390882,414.079979622983,415.9505664046328,269.69998683386746,467,217.11149755749207,373.5936254271844,599.381980799102,606.7072003028085,417.0724228172769,485.2966764238547,342.958751421395,422,176.23435606833496
339.1146146652867,337.7195660941422,391.86839225610277,333.8873751881206,323.80803253845926,1004.6619280883201,1024.3867300343234,923.487027042761,272,297.1194955428926,476.8796298288592,400.59753278504644,406.30074726836176,402.8599169392897,264.57047936275217,449,211.14818312470214,366.51027709054404,587.3985847421396,595.495893534758,408.4921292083266,465.9066861618915,326.9583040212296,401,171.31228665273892
354.84927377517334,369.5529972119061,415.47831673761715,378.8481032124601,346.3543015131052,1064.1332765489717,1105.8679827929564,1006.6026609002733,308,337.77540903018564,509.38681756295455,429.78384076961265,429.71570123111076,437.95387710597885,285.0885092472133,481,226.50060274936644,384.6809999951129,620.5627284018069,627.9755889354544,423.74598451312715,488.3237471072518,339.1491210880223,417,188.08274746655457
336.7267457977265,333.62921966714936,390.8104813283262,331.54790957062045,318.73105432921295,993.7078625987823,1011.2256789170397,908.1044473760899,272,296.2291146689323,476.61762046913896,396.1967259271462,404.3752534044277,398.5427575156189,264.57047936275217,439,209.02297359807827,363.9696094800459,583.7062246000941,592.4045106168816,403.72529942557645,479.5151352418893,341.4348992880459,420,170.58283244059677
347.28924094716064,351.1801800110052,393.6412749469173,338.6135180848056,342.40055654414454,1043.5742281825492,1070.0247365929658,978.1751210067599,268,296.30219900942814,474.3565145310195,415.6424070629246,411.7005824404044,416.9007838591341,262.2906982644787,487,218.27378497704302,375.04919328255085,599.0574875924549,604.733451948967,426.60608238277723,468.2992073649846,326.9583040212296,401,172.48018962166114
328.1290875494728,316.5970411638977,379.14414942514253,309.1727159239045,305.60212685555416,960.2688493641449,966.3141290125687,861.3350257730032,255,276.59519153933,461.1389105743974,380.2627971372387,392.3768392552063,379.8599983853322,254.88140969508993,419,200.73422856230403,354.1468861655338,566.2402251358067,575.5555339178131,394.1916398600761,481.11188522997304,348.2922338881168,429,162.3068261081366
346.43319995646954,351.06948592018864,397.88393782764916,345.9817789065941,337.55046784575137,1036.1168149611863,1063.850339358087,967.5920393634664,278,305.64656350956324,482.81277952532497,414.1168376030113,413.99004419455684,417.19932383362385,267.9901510101623,474,217.88649846450645,374.5353772086185,600.1875836314405,606.988895840031,420.409203665202,483.7425561696738,341.4348992880459,420,175.54195673892104
352.8817762239191,364.4203526391468,408.59814989583396,366.25145349755996,346.11011493108845,1059.6971692552397,1096.9169432570027,1000.5171392665491,295,324.47914385260134,498.0556809963183,426.0900402208086,424.2555138662376,431.9966394826068,277.67922067782456,485,224.2625549263192,382.07149967368235,614.3304589678869,621.0556279130107,425.65271642622724,482.1421269341298,335.33949075464955,412,183.16145428045334
348.836367182109,357.35512272953093,406.34369770270723,361.46735189710586,337.8119514989316,1041.4923772804755,1074.7657645475895,974.9635846075373,294,322.0043484906366,496.7567783045717,418.62920130263245,420.69546330621654,424.49809968220734,277.10927540325616,469,220.6246710965136,377.72752631491386,607.8296663182495,615.481991075978,418.02578877382695,491.9880489490913,346.76838175476774,427,181.59332178172147
342.29001468336344,344.7857428966697,398.8215109458679,346.846747661067,326.9234077486611,1014.9921874842712,1040.1409033188884,937.8606692841502,284,309.8998032812247,487.4882842951335,406.51226950305494,412.43697057386856,410.816365494338,271.40982265757253,451,214.42380807651622,370.36527279630195,595.2532538389225,603.6432601394972,409.44549516487666,475.43287821990003,333.8156386213005,410,176.27024660682096
