V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
351.39109446448686,364,1061.097890833262,438.5522909260287,468,227.80692494867924,619.5899230076167,426.7025584313114,348.0453513069636,178
348.3120917826407,325,986.7238573321534,405.8597868129321,417,217.63993937132463,614.9914866509476,420.1371822844263,353.17811485797546,182
335.79269073900537,308,963.6213440663023,396.15411882650216,415,209.83764553188178,591.301678819963,403.6797712058677,335.21344242943377,168
345.3803976881763,312,976.9148612915229,409.25056391038703,435,218.17096722687324,608.995049207333,417.20397606613676,345.4789695314576,176
329.34865264089626,335,993.8890113019241,393.651136862476,399,204.77022981706878,579.4718809274265,394.4624517744361,328.7974879906689,163
324.8590772724301,292,923.9427182647765,369.2933365237876,371,196.96963319406805,571.6397079972998,387.20060315519754,327.5142971029159,162
342.41194372755456,342,1008.0554397825788,405.7778159243339,412,214.14132140124485,603.9255771473634,412.1788611928343,345.4789695314576,176
333.082363209742,315,964.3823659181401,387.90428103088374,394,205.54169746240316,586.6730304173819,399.09162284328715,335.21344242943377,168
340.4574809979116,317,979.3512308796741,403.9700258741558,424,214.00136135062212,599.9279521849536,410.22339038064126,340.3462059804457,172
338.4938955824174,348,1012.2078577275852,401.5450593953298,402,210.70652730333347,596.7395336803638,406.5610762318309,341.6293968681987,173
352.21162543332304,320,995.3916775992776,421.89897732350113,454,224.94085901419857,621.4860825859524,427.0767452636513,351.8949239702225,181
336.5117956724684,382,1060.5987895071148,411.4246870754337,407,211.3383059790876,592.8596676437792,404.22054010124225,337.77982420493976,170
342.59628130384596,323,988.6275663498064,407.53778535840667,427,215.80660941549823,603.9104711244074,413.16747508498656,342.9125877559517,174
340.47599549236645,336,993.6716598624224,397.1451936662415,397,210.7401075864618,600.6193997169485,408.9016123624196,345.4789695314576,176
329.6805679273217,317,964.7710716939554,384.5787086074155,388,202.844529616476,580.3686342651597,394.34777090372774,331.36386976617484,165
342.70683002507036,330,1010.0061100378466,421.3145759871333,455,220.06884664673757,603.439435421107,414.7077363585692,337.77982420493976,170
345.0393597158996,357,1028.2396692177333,410.4824931650062,412,216.06472934863694,608.9075023274197,415.61181360022783,349.32854219471653,179
347.9249021356031,332,994.9747748980225,406.1757190885104,414,217.20769403849692,614.3302511648646,419.48173251834334,353.17811485797546,182
344.9379336805265,328,991.4394240101711,405.79160198013363,418,215.98564814142725,608.5693315729002,415.77839566326253,348.0453513069636,178
345.9704394059601,371,1053.1207010187297,420.3090547140142,426,219.00332368644126,610.3326262024549,417.5262617061503,348.0453513069636,178
352.2577771080839,392,1084.6047021909128,431.283697317748,434,224.29514849615373,622.0597711921221,426.1400325638253,355.74449663348145,184
347.7682017396177,315,968.5192749224713,398.4571739638537,406,215.46626984578924,614.2275982619954,418.87818394458674,354.46130574572845,183
329.47771585657546,320,973.9496162232113,390.39081164730453,400,204.53122613350328,579.6922927561209,394.68093502979707,328.7974879906689,163
342.43958090786066,375,1055.807368196587,417.00576635284455,419,216.15199286655815,603.8078182215382,412.5639265112299,344.1957786437046,175
344.8550221396082,343,1002.8854417789557,400.5028808044099,397,213.40140289605995,608.9226083503756,414.6231997080755,351.8949239702225,181
332.04985748430835,323,971.9097902565221,386.0899128198121,386,204.06644495843477,584.9097357878273,397.3437568003993,335.21344242943377,168
352.2577771080839,339,1012.6819341244841,418.08245261757395,434,222.69223827702788,622.0597711921221,426.1400325638253,355.74449663348145,184
341.5085012178001,320,975.2879686460889,396.96692116785283,405,211.9734113781093,602.3826943465031,410.64947840530743,345.4789695314576,176
329.5238675313364,282,913.8889712430132,372.37672188647326,380,200.5587208210463,580.2659813622905,393.7442223299711,332.64706065392784,166
349.7594243354181,357,1037.6959108783258,422.07329441849157,435,221.9815189199956,617.2982578407601,422.9255634117927,351.8949239702225,181
343.7763647394136,329,989.0515095128993,401.75779703321786,409,214.0840403621419,606.5856251146513,413.8120463650137,348.0453513069636,178
333.7829536487502,356,1028.0409153397889,406.5125602461743,413,209.8802014272078,587.5395717092034,400.95416975688335,332.64706065392784,166
346.80009306064755,338,1016.7748871367731,420.9612834818641,446,221.31845221431388,611.4195793229705,419.60729187510753,345.4789695314576,176
333.67240492752586,304,945.5958704632714,381.5271656267339,385,204.25700268916347,588.0106074125039,399.4139084833007,337.77982420493976,170
364.73102647695833,412,1120.2716928459242,450.28565196112083,456,235.01142203164972,645.1758904169371,443.5341563422099,369.8595963987642,195
354.341303053406,333,999.7342141927732,412.6446360336601,423,222.10929721944336,626.2778079832261,428.3139866313793,360.87726018449337,188
339.67397901798506,340,993.633333854263,392.27794982858546,384,208.56054800341562,599.4146876706076,407.20564751185805,346.7621604192106,177
323.2088926489065,298,929.645376838898,367.60973506200577,365,195.3732757788283,568.6565952984485,384.7453861539005,326.2311062151629,161
339.13921166081343,344,1008.8602508758403,402.9281196159321,407,211.65880370735383,597.8415928238354,407.6534925086358,341.6293968681987,173
332.54759585257034,347,1017.6062170125479,405.5286933013411,417,209.4867736594645,585.0999355706099,399.5394678400649,330.08067887842185,164
355.2171083828544,357,1032.2459245062926,418.94538346551894,423,223.3250613936695,627.9384497099115,429.4583041005105,362.16045107224636,189
345.73995015490783,326,994.1918167378185,411.1570059951547,431,218.2256949025536,609.7740436192411,417.474360513824,346.7621604192106,177
338.98251126482813,325,979.6906841808011,394.71141431391027,399,209.85689233656592,597.7389399209662,407.04994393487914,342.9125877559517,174
350.377103233508,325,993.3815424112925,413.4738046539958,433,221.0743418039032,618.5180759100568,423.63291437020195,353.17811485797546,182
348.1092397118945,394,1085.4666036045091,428.1111757058681,429,221.32271276499927,614.3151451419087,420.47034641049567,350.6117330824695,180
343.16780852717494,365,1053.227043813753,425.91926854731327,445,219.9607068173068,604.5566005875345,414.8115387432218,340.3462059804457,172
336.4380068174014,317,977.9151708912287,400.7752201999773,420,211.18308859342355,592.4037379634345,404.77218748267256,335.21344242943377,168
344.57838121379496,322,985.0187354418271,405.87780060482623,422,216.1728691780677,607.7903371609921,415.5080112155752,346.7621604192106,177
367.1279532142511,377,1074.7418712014476,444.592880039521,461,236.0059832499536,649.5992330137796,446.91520755727714,372.42597817427014,197
342.77149619428604,342,1006.3339281924592,404.19713676754606,408,213.7726388303637,604.7045715592715,412.44924564052155,346.7621604192106,177
347.56534966887153,361,1036.0502539207166,414.97972081709156,418,218.45344069154132,613.5512567529565,419.2113480706561,351.8949239702225,181
346.4037807277587,405,1092.0147738924343,421.6563596835245,409,217.85230724098074,611.5675502947075,417.24499877240726,351.8949239702225,181
339.3420637315597,345,1005.1098397855603,398.11233693077315,395,210.09308154648699,598.5179343328743,407.32032838256646,344.1957786437046,175
342.51336976292765,338,1000.073584118591,402.24906418268296,406,213.22236417013093,604.2637479018828,412.0122791297996,346.7621604192106,177
331.7179421978829,320,972.530029309868,389.93165921253956,397,205.35702978918525,584.0129824500941,397.4584376711077,332.64706065392784,166
341.6099272531732,355,1020.2304140121148,403.1522928848206,399,212.23395411955968,602.7208651010225,410.48289634227274,346.7621604192106,177
351.6033383438366,335,990.740241703433,400.1410902926419,395,216.64949817777457,621.7669185064703,423.3407729504031,362.16045107224636,189
344.57838121379496,396,1085.4392040628786,424.3097271673334,422,218.4108947670359,607.7903371609921,415.5080112155752,346.7621604192106,177
330.8697740487407,308,959.2725468557337,389.62818034685824,404,205.5168217104301,582.2345817975836,396.69918552037217,330.08067887842185,164
334.04108008010866,324,985.448058462875,399.49374963846634,415,209.34170688199657,587.9803953665921,401.3911362676053,332.64706065392784,166
353.44698322950285,364,1053.3225435175564,431.6006473722228,450,226.39281239834574,623.9257187245458,428.4914471804698,354.46130574572845,183
353.2811601476663,342,1005.6488443484409,408.0710404092838,408,219.65165527752544,624.6322722794966,426.1810552700958,362.16045107224636,189
345.0393597158996,362,1035.024836016453,411.72789360841887,412,216.2159472938375,608.9075023274197,415.61181360022783,349.32854219471653,179
349.9622764061643,349,1021.7321995503504,415.01579093518984,423,220.14360445776774,617.974599349799,422.59239928572333,354.46130574572845,183
351.16999702203805,407,1095.6917049625863,425.19627472347975,412,221.00633506148682,620.5319944142177,423.62203588414616,358.3108784089874,186
330.6577992921432,315,959.4461924291207,381.8709423466078,382,202.47597760070576,582.3674467463646,395.3255063098242,333.93025154168083,167
357.1806937983486,378,1069.9550323650662,434.3225145558365,445,228.19256207104385,631.1268682145014,433.1206182493208,360.87726018449337,188
338.83493355469415,332,1000.237017233949,407.53645271250394,425,213.68982926373297,596.8270805602771,408.1532386977398,337.77982420493976,170
356.6644409356318,404,1103.573478448624,438.89509240131633,441,228.1202947779421,630.2452208997241,432.2466852278769,360.87726018449337,188
333.4419156764735,325,976.2311879254598,388.8144027609212,390,205.47545078192312,587.4520248292902,399.3620072909744,336.49663331718676,169
